nge_object_id,field_id,sport_name,confidence,predicted_field_type,predicted_sport_type,detected_sport,actual_sport,actual_field_type,Zoom Level
789,9732,Stadium,"0.80, 0.67, 0.61",Turf,Soccer,"Stadium, Baseball",Soccer,turf,-1
790,9737,Baseball,"0.83, 0.57",Buildings,Buildings,"Basketball, Baseball","Baseball, Soccer, Basketball, Tennis","turf, concrete, synthetic",1
791,9738,Baseball,"0.94, 0.50",Buildings,Buildings,"Stadium, Baseball",Baseball,turf,0
792,9738,Stadium,"0.94, 0.54",Grass,Soccer,"Stadium, Baseball",Baseball,turf,-1
793,9739,Soccer,0.91,Turf,Soccer,Soccer,"Football, Soccer",turf,-1
794,9740,Tennis,"0.88, 0.88, 0.87, 0.88, 0.88, 0.86, 0.85, 0.81, 0.81, 0.79, 0.65, 0.54, 0.51",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
795,9740,Tennis,"0.89, 0.88, 0.86, 0.87, 0.87, 0.85, 0.84, 0.84, 0.76, 0.68, 0.68, 0.67, 0.60",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
796,9740,Tennis,"0.90, 0.87, 0.84, 0.87, 0.86, 0.83, 0.82, 0.78, 0.69",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
797,9740,Tennis,"0.90, 0.89, 0.87, 0.88, 0.88, 0.86, 0.86, 0.84, 0.82, 0.80, 0.62, 0.56",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
798,9740,Tennis,"0.89, 0.89, 0.87, 0.88, 0.88, 0.86, 0.85, 0.72, 0.68, 0.52, 0.46",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
799,9740,Tennis,"0.89, 0.88, 0.86, 0.87, 0.87, 0.85, 0.85, 0.82, 0.67, 0.65, 0.64, 0.55, 0.45",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
800,9740,Soccer,"0.92, 0.90, 0.87, 0.89, 0.87, 0.87, 0.86, 0.85, 0.85, 0.80, 0.79, 0.72",Grass,Soccer,"Soccer, Tennis, Baseball",Soccer,turf,-1
801,9740,Tennis,"0.88, 0.88, 0.86, 0.87, 0.87, 0.85, 0.76, 0.73, 0.72, 0.64",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
802,9740,Tennis,"0.90, 0.89, 0.86, 0.88, 0.88, 0.85, 0.84, 0.84, 0.70, 0.58, 0.58, 0.54, 0.47",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
803,9741,Tennis,"0.90, 0.70, 0.54, 0.47",Buildings,Buildings,"Soccer, Tennis, Baseball","Baseball, Tennis","grass, cement",1
804,9741,Baseball,"0.91, 0.90, 0.72, 0.60",Turf,Baseball,"Soccer, Tennis, Baseball",Baseball,grass,0
805,9744,Tennis,"0.89, 0.81, 0.81",Synthetic,Basketball,"Tennis, Baseball","Soccer, tennis","grass, cement",1
806,9744,Tennis,"0.82, 0.82, 0.80",Synthetic,Basketball,"Tennis, Baseball","Soccer, tennis","grass, cement",1
807,9745,Baseball,0.88,Turf,Soccer,Baseball,"Baseball, Soccer, Basketball, Tennis","turf, concrete, synthetic",1
808,9747,Soccer,"0.86, 0.84",Turf,Soccer,"Tennis, Soccer","Football, Soccer",turf,0
809,9747,Tennis,"0.89, 0.86, 0.56",Grass,Soccer,"Tennis, Baseball, Soccer","Soccer, tennis","turf, synthetic",1
810,9748,Baseball,"0.93, 0.64",Grass,Soccer,"Stadium, Baseball",Baseball,turf,0
811,9748,Stadium,"0.94, 0.53",Turf,Baseball,"Stadium, Baseball",Baseball,turf,-1
812,9750,Baseball,"0.96, 0.89, 0.86, 0.89, 0.89, 0.80",Grass,Baseball,"Tennis, Baseball",Baseball,grass,0
813,9750,Tennis,"0.92, 0.90, 0.87, 0.89, 0.88, 0.86, 0.54",Synthetic,Tennis,"Basketball, Tennis, Baseball","Tennis, Baseball","grass, synthetic",1
814,9750,Tennis,"0.90, 0.89, 0.87, 0.89, 0.87, 0.84, 0.68",Synthetic,Tennis,"Basketball, Tennis, Baseball","Baseball, Tennis, Basketball","grass, synthetic, cement",1
815,9750,Tennis,"0.90, 0.90, 0.87, 0.89, 0.88, 0.84, 0.58",Synthetic,Tennis,"Basketball, Tennis, Baseball","Baseball, Tennis, Basketball","grass, synthetic, cement",1
