"nge_object_id","field_search_id","sport_name","description","image_url","detect_confidence","predicted_field_type","predicted_sport","predicted_field_type_probability","predicted_sport_type_probability","predicted_large_field_type","predicted_large_sport","large_predicted_field_type_probability","large_predicted_sport_type_probability","detected_sport"
905,9732,"Stadium","box: (x1, y1) = (158,319), (x2, y2) = (493,2), width = 335 height = 240 image: width = 640, height = 640 original_ground_resolution = 0.40230500093112853, new ground_resolution = 0.40230499777471446 new_gps_location: 47.64702596965349, -122.37848293016357","https://earth.google.com/web/@47.64702596965349,-122.37848293016357,4.1972381a,15000d","0.80, 0.67, 0.61","Turf","Soccer","0.999941468238831","0.997227728366852","Buildings","Buildings","0.886102020740509","0.614629745483398","Stadium, Baseball"
790,9737,"Baseball","box: (x1, y1) = (222,511), (x2, y2) = (305,2), width = 83 height = 82 image: width = 640, height = 640 original_ground_resolution = 0.40253830399113505, new ground_resolution = 0.40253830083289055 new_gps_location: 47.61645299074634, -122.31933311559558","https://earth.google.com/web/@47.61645299074634,-122.31933311559558,4.1972381a,15000d","0.83, 0.57","Buildings","Buildings","0.984026908874512","0.503249228000641","Buildings","Buildings","0.755008220672607","0.922152161598206","Basketball, Baseball"
906,9737,"Baseball","box: (x1, y1) = (222,511), (x2, y2) = (305,2), width = 83 height = 82 image: width = 640, height = 640 original_ground_resolution = 0.40253830399113505, new ground_resolution = 0.40253830083289055 new_gps_location: 47.61645299074634, -122.31933311559558","https://earth.google.com/web/@47.61645299074634,-122.31933311559558,4.1972381a,15000d","0.83, 0.57","Buildings","Buildings","0.984026908874512","0.503249228000641","Buildings","Buildings","0.755008220672607","0.922152161598206","Basketball, Baseball"
791,9738,"Baseball","box: (x1, y1) = (414,29), (x2, y2) = (532,2), width = 118 height = 116 image: width = 640, height = 640 original_ground_resolution = 0.40274292245178, new ground_resolution = 0.40274291929193 new_gps_location: 47.591002818175944, -122.33292986111643","https://earth.google.com/web/@47.591002818175944,-122.33292986111643,4.1972381a,15000d","0.94, 0.50","Buildings","Buildings","0.9986252784729","0.89589387178421","Grass","Soccer","0.999897480010986","0.924260914325714","Stadium, Baseball"
792,9738,"Stadium","box: (x1, y1) = (249,0), (x2, y2) = (640,2), width = 391 height = 294 image: width = 640, height = 640 original_ground_resolution = 0.40274292245178, new ground_resolution = 0.40274291929193 new_gps_location: 47.590856419236054, -122.33303478025121","https://earth.google.com/web/@47.590856419236054,-122.33303478025121,4.1972381a,15000d","0.94, 0.54","Grass","Soccer","0.998935520648956","0.841561853885651","Grass","Soccer","0.999851107597351","0.864721834659576","Stadium, Baseball"
907,9738,"Baseball","box: (x1, y1) = (414,29), (x2, y2) = (532,2), width = 118 height = 116 image: width = 640, height = 640 original_ground_resolution = 0.40274292245178, new ground_resolution = 0.40274291929193 new_gps_location: 47.591002818175944, -122.33292986111643","https://earth.google.com/web/@47.591002818175944,-122.33292986111643,4.1972381a,15000d","0.94, 0.50","Buildings","Buildings","0.9986252784729","0.89589387178421","Grass","Soccer","0.999897480010986","0.924260914325714","Stadium, Baseball"
908,9738,"Stadium","box: (x1, y1) = (249,0), (x2, y2) = (640,2), width = 391 height = 294 image: width = 640, height = 640 original_ground_resolution = 0.40274292245178, new ground_resolution = 0.40274291929193 new_gps_location: 47.590856419236054, -122.33303478025121","https://earth.google.com/web/@47.590856419236054,-122.33303478025121,4.1972381a,15000d","0.94, 0.54","Grass","Soccer","0.998935520648956","0.841561853885651","Grass","Soccer","0.999851107597351","0.864721834659576","Stadium, Baseball"
793,9739,"Soccer","box: (x1, y1) = (177,119), (x2, y2) = (615,2), width = 438 height = 220 image: width = 640, height = 640 original_ground_resolution = 0.4018413263330217, new ground_resolution = 0.4018413231802456 new_gps_location: 47.70770714700049, -122.29228325504616","https://earth.google.com/web/@47.70770714700049,-122.29228325504616,4.1972381a,15000d","0.91","Turf","Soccer","1","0.999997973442078","Buildings","Buildings","0.631951987743378","0.507895529270172","Soccer"
909,9739,"Soccer","box: (x1, y1) = (177,119), (x2, y2) = (615,2), width = 438 height = 220 image: width = 640, height = 640 original_ground_resolution = 0.4018413263330217, new ground_resolution = 0.4018413231802456 new_gps_location: 47.70770714700049, -122.29228325504616","https://earth.google.com/web/@47.70770714700049,-122.29228325504616,4.1972381a,15000d","0.91","Turf","Soccer","1","0.999997973442078","Buildings","Buildings","0.631951987743378","0.507895529270172","Soccer"
794,9740,"Tennis","box: (x1, y1) = (123,157), (x2, y2) = (150,2), width = 27 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66921304687952, -122.34289469527278","https://earth.google.com/web/@47.66921304687952,-122.34289469527278,4.1972381a,15000d","0.88, 0.88, 0.87, 0.88, 0.88, 0.86, 0.85, 0.81, 0.81, 0.79, 0.65, 0.54, 0.51","Synthetic","Tennis","0.997136950492859","0.995272219181061","Grass","Soccer","0.953864872455597","0.916105031967163","Tennis, Baseball"
