                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5937,                 3.2752,                 1.6885,                  0.004,                   0.96,                0.23415,                0.13766,                 1.0728,                 3.4368,                 1.3397,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.5278,                 3.2081,                  1.621,                0.00417,                      1,                0.28324,                0.16952,                 1.0331,                 3.3258,                 1.2903,               0.091896,             0.00089554,             0.00089554
                      2,                 1.4212,                 3.0672,                 1.4924,                0.00417,                      1,                0.70643,                0.42983,                 1.0476,                 3.2173,                 1.2255,               0.087386,              0.0013861,              0.0013861
                      3,                 1.4592,                 2.8084,                 1.4619,                0.00417,                      1,                0.88115,                0.54891,                 1.0933,                 3.1167,                 1.1769,               0.082872,              0.0018718,              0.0018718
                      4,                 1.3659,                 2.5641,                 1.4309,                0.00417,                      1,                0.91659,                0.56271,                 1.1358,                 2.9547,                  1.146,               0.078352,              0.0023525,              0.0023525
                      5,                 1.3991,                 2.0733,                  1.339,                0.83757,                    0.8,                0.93561,                0.60424,                 1.1533,                 2.6397,                 1.1149,               0.073828,              0.0028282,              0.0028282
                      6,                  1.382,                 1.6987,                 1.3224,                0.87042,                   0.76,                0.93676,                0.58421,                 1.2356,                 2.3484,                 1.1473,               0.069299,               0.003299,               0.003299
                      7,                 1.3604,                 1.4866,                 1.2482,                0.87504,                0.84033,                0.93374,                0.50661,                 1.3643,                 2.3288,                 1.2809,               0.064765,              0.0037649,              0.0037649
                      8,                 1.3528,                 1.4659,                 1.2289,                0.95303,                0.81205,                0.94641,                 0.5685,                 1.3514,                  2.371,                 1.2242,               0.060226,              0.0042258,              0.0042258
                      9,                  1.309,                 1.3207,                 1.2162,                0.95459,                0.84094,                0.91058,                0.57745,                 1.2565,                 2.3264,                 1.2101,               0.055682,              0.0046817,              0.0046817
                     10,                 1.3842,                 1.3402,                 1.2602,                0.95781,                0.90841,                0.91107,                0.51188,                 1.4436,                 2.1773,                 1.2767,               0.051133,              0.0051327,              0.0051327
                     11,                 1.3148,                 1.2966,                 1.2703,                      1,                0.87765,                0.93763,                0.53031,                 1.4255,                 2.0443,                 1.2999,               0.046579,              0.0055787,              0.0055787
                     12,                 1.2268,                 1.2015,                  1.189,                0.99219,                   0.88,                 0.9749,                0.55028,                 1.4847,                 1.8546,                 1.3166,                0.04202,              0.0060198,              0.0060198
                     13,                 1.3879,                 1.1737,                 1.2802,                0.85795,                      1,                0.94694,                0.60808,                 1.3035,                 1.7214,                 1.1745,               0.037456,               0.006456,               0.006456
                     14,                 1.2829,                 1.1678,                 1.2714,                0.95756,                0.90302,                0.98033,                0.61932,                 1.3947,                 1.7078,                 1.2634,               0.032887,              0.0068872,              0.0068872
                     15,                 1.2205,                 1.0766,                 1.2017,                0.91191,                   0.72,                0.87428,                0.44039,                  1.726,                 2.1985,                 1.5301,               0.028313,              0.0073134,              0.0073134
                     16,                   1.43,                 1.2537,                 1.3278,                0.64339,                   0.16,                0.18099,                0.09091,                 1.6845,                 3.7144,                 2.3612,               0.023735,              0.0077347,              0.0077347
                     17,                 1.4048,                 1.2916,                 1.3162,                0.71684,                0.10408,                0.14996,                0.09707,                 1.6603,                 3.5274,                 2.3069,               0.019151,              0.0081511,              0.0081511
                     18,                 1.3665,                 1.1779,                 1.3301,                  0.002,                   0.48,                 0.0018,                0.00053,                 2.3841,                 4.1649,                 3.3761,               0.014562,              0.0085625,              0.0085625
                     19,                 1.3902,                 1.1909,                 1.3762,                0.71689,                0.10411,                0.20431,                0.09335,                 1.7471,                  3.599,                 2.2319,              0.0099689,              0.0089689,              0.0089689
                     20,                 1.3905,                 1.1641,                 1.2936,                0.69849,                   0.56,                0.55439,                0.31704,                   1.65,                 2.4316,                 1.6345,                0.00901,                0.00901,                0.00901
                     21,                 1.2526,                 1.1644,                 1.2668,                0.92145,                   0.44,                0.59592,                0.33112,                 1.7619,                 2.5303,                 1.6539,                0.00901,                0.00901,                0.00901
                     22,                 1.3187,                 1.2354,                 1.2805,                0.94724,                0.71824,                0.79138,                0.37289,                 1.7965,                 2.0679,                 1.5288,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3022,                 1.0485,                 1.2399,                0.85615,                0.71446,                0.83248,                0.44732,                 1.5929,                 1.7988,                 1.4171,               0.008911,               0.008911,               0.008911
