"nge_object_id","field_search_id","sport_name","predicted_field_type","predicted_sport","detected_sport"
905,9732,"Stadium","Turf","Soccer","Stadium, Baseball"
790,9737,"Baseball","Buildings","Buildings","Basketball, Baseball"
906,9737,"Baseball","Buildings","Buildings","Basketball, Baseball"
791,9738,"Baseball","Buildings","Buildings","Stadium, Baseball"
792,9738,"Stadium","Grass","Soccer","Stadium, Baseball"
907,9738,"Baseball","Buildings","Buildings","Stadium, Baseball"
908,9738,"Stadium","Grass","Soccer","Stadium, Baseball"
793,9739,"Soccer","Turf","Soccer","Soccer"
909,9739,"Soccer","Turf","Soccer","Soccer"
794,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
795,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
796,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
797,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
798,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
799,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
800,9740,"Soccer","Grass","Soccer","Soccer, Tennis, Baseball"
801,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
802,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
910,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
911,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
912,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
913,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
914,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
915,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
916,9740,"Soccer","Grass","Soccer","Soccer, Tennis, Baseball"
917,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
918,9740,"Tennis","Synthetic","Tennis","Tennis, Baseball"
803,9741,"Tennis","Buildings","Buildings","Soccer, Tennis, Baseball"
804,9741,"Baseball","Turf","Baseball","Soccer, Tennis, Baseball"
919,9741,"Tennis","Buildings","Buildings","Soccer, Tennis, Baseball"
920,9741,"Baseball","Turf","Baseball","Soccer, Tennis, Baseball"
805,9744,"Tennis","Synthetic","Basketball","Tennis, Baseball"
806,9744,"Tennis","Synthetic","Basketball","Tennis, Baseball"
921,9744,"Tennis","Synthetic","Basketball","Tennis, Baseball"
922,9744,"Tennis","Synthetic","Basketball","Tennis, Baseball"
807,9745,"Baseball","Turf","Soccer","Baseball"
923,9745,"Baseball","Turf","Soccer","Baseball"
808,9747,"Soccer","Turf","Soccer","Tennis, Soccer"
809,9747,"Tennis","Grass","Soccer","Tennis, Baseball, Soccer"
924,9747,"Soccer","Turf","Soccer","Tennis, Soccer"
925,9747,"Tennis","Grass","Soccer","Tennis, Baseball, Soccer"
810,9748,"Baseball","Grass","Soccer","Stadium, Baseball"
811,9748,"Stadium","Turf","Baseball","Stadium, Baseball"
926,9748,"Baseball","Grass","Soccer","Stadium, Baseball"
927,9748,"Stadium","Turf","Baseball","Stadium, Baseball"
812,9750,"Baseball","Grass","Baseball","Tennis, Baseball"
813,9750,"Tennis","Synthetic","Tennis","Basketball, Tennis, Baseball"
814,9750,"Tennis","Synthetic","Tennis","Basketball, Tennis, Baseball"
815,9750,"Tennis","Synthetic","Tennis","Basketball, Tennis, Baseball"
816,9750,"Basketball","Synthetic","Basketball","Basketball, Tennis, Baseball"
928,9750,"Baseball","Grass","Baseball","Tennis, Baseball"
929,9750,"Tennis","Synthetic","Tennis","Basketball, Tennis, Baseball"
930,9750,"Tennis","Synthetic","Tennis","Basketball, Tennis, Baseball"
931,9750,"Tennis","Synthetic","Tennis","Basketball, Tennis, Baseball"
932,9750,"Basketball","Synthetic","Basketball","Basketball, Tennis, Baseball"
817,9758,"Tennis","Synthetic","Tennis","Tennis, Stadium"
818,9758,"Tennis","Synthetic","Tennis","Tennis, Stadium"
819,9758,"Tennis","Synthetic","Tennis","Tennis, Stadium"
820,9758,"Stadium","Grass","Soccer","Tennis, Stadium"
933,9758,"Tennis","Synthetic","Tennis","Tennis, Stadium"
934,9758,"Tennis","Synthetic","Tennis","Tennis, Stadium"
935,9758,"Tennis","Synthetic","Tennis","Tennis, Stadium"
936,9758,"Stadium","Grass","Soccer","Tennis, Stadium"
821,9759,"Baseball","Buildings","Buildings","Basketball, Baseball"
937,9759,"Baseball","Buildings","Buildings","Basketball, Baseball"
822,9760,"Baseball","Buildings","Buildings","Baseball"
